task,scaffold,K,instance,correct,valid,seconds,response_head
fold2,verifier_guided,4,15,0,1,0.93,"(1,1);(1,2)"
fold2,verifier_guided,4,16,0,0,1.21,"(row=1, col=2);(row=2, col=3)"
fold2,verifier_guided,4,17,0,0,1.07,"(row=1, col=1);(row=2, col=1)"
fold2,verifier_guided,4,18,0,0,1.24,"(row=0, col=1);(row=3, col=1)"
fold2,verifier_guided,4,19,0,0,0.89,"(1,4);(4,4)"
fold2,verifier_guided,16,0,0,0,3.95,"(row=3, col=3);(4,3)"
fold2,verifier_guided,16,1,0,0,3.8,"(row=2, col=1);(row=3, col=2)"
fold2,verifier_guided,16,2,0,0,3.9,"(row=1, col=3);(row=2, col=1)"
fold2,verifier_guided,16,3,0,0,3.96,"(row=0, col=4);(col=2)"
fold2,verifier_guided,16,4,0,0,3.84,"(row=1,col=1);(row=2,col=3)"
fold2,verifier_guided,16,5,0,0,3.96,"(1,4);(2,4)"
fold2,verifier_guided,16,6,0,0,3.8,"(3,4);(3,5)"
fold2,verifier_guided,16,7,0,0,4.04,"(row=3, col=3);(2,4)"
fold2,verifier_guided,16,8,0,1,4.34,"(2,2);(3,2)"
fold2,verifier_guided,16,9,0,0,4.03,"(row=2, col=4);(row=3, col=1)"
fold2,verifier_guided,16,10,0,0,4.17,"(row=1, col=1);(row=2, col=3)"
fold2,verifier_guided,16,11,0,1,4.13,"(1,3);(2,3)"
fold2,verifier_guided,16,12,0,1,3.59,"(3,2);(2,1)"
fold2,verifier_guided,16,13,0,1,3.84,"(1,3);(2,3)"
fold2,verifier_guided,16,14,0,0,4.07,"(row=4, col=5);(col=3)"
fold2,verifier_guided,16,15,0,0,4.04,"(0,4);(4,4)"
fold2,verifier_guided,16,16,0,0,4.67,"(row=2, col=1);(row=2, col=3)"
fold2,verifier_guided,16,17,0,0,3.95,"(row=2, col=2);(row=3, col=2)"
fold2,verifier_guided,16,18,0,1,3.95,"(1,1);(2,1)"
fold2,verifier_guided,16,19,0,0,3.68,"(row=3, col=4);(col=3)"
fold2,verifier_guided,64,0,0,1,16.36,"(1,1);(2,2)"
fold2,verifier_guided,64,1,0,1,15.17,"(1,3);(2,3)"
fold2,verifier_guided,64,2,0,1,14.98,"(2,4);(3,2)"
fold2,verifier_guided,64,3,0,0,15.54,"(row=0, col=1);(row=1, col=1)"
fold2,verifier_guided,64,4,0,0,15.82,"(row=3, col=1);(row=2, col=2)"
fold2,verifier_guided,64,5,0,1,14.89,"(1,4);(2,3)"
fold2,verifier_guided,64,6,0,1,16.26,"(1,3);(3,3)"
fold2,verifier_guided,64,7,0,0,16.24,"(row=1, col=3);(col=1)"
fold2,verifier_guided,64,8,0,0,16.05,"(row=0, col=4);(col=3)"
fold2,verifier_guided,64,9,0,0,15.15,"(row=1, col=4);(row=3, col=2)"
fold2,verifier_guided,64,10,0,1,16.39,"(3,3);(2,4)"
fold2,verifier_guided,64,11,0,1,15.95,"(row=2, col=3);(3,2)"
fold2,verifier_guided,64,12,0,1,15.94,"(3,2);(3,1)"
fold2,verifier_guided,64,13,0,0,15.26,"(row=2, col=3);(row=3, col=2)"
fold2,verifier_guided,64,14,0,0,15.17,"(row=0, col=3);(row=1, col=4)"
fold2,verifier_guided,64,15,0,0,15.83,"(row=0, col=1);(col=3)"
fold2,verifier_guided,64,16,0,1,19.14,"(3,3);(4,3)"
fold2,verifier_guided,64,17,0,1,15.24,"(3,2);(4,2)"
fold2,verifier_guided,64,18,0,1,15.41,"(row=2, col=2);(0,2)"
fold2,verifier_guided,64,19,0,0,15.31,"(row=2, col=1);(row=3, col=1)"
