case,instance,scaffold,correct,seconds,response_head
maze_txt,0,whiteboard,0,0.22," ⏎  [ 'U', 'D', 'R', 'R' ]"
maze_txt,1,bare,0,2.15,urdrdrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdu
maze_txt,1,self_consist,0,0.58,"urdr,urdr,urdr"
maze_txt,1,verifier_guided,0,1.44,urdlrurdlruurdulr
maze_txt,1,whiteboard,0,0.23," ⏎  [ 'U', 'D', 'R', 'R' ]"
maze_txt,2,bare,0,2.07,urdrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_txt,2,self_consist,0,0.41,urdldlrdlrdlg
maze_txt,2,verifier_guided,0,0.9,urdrd
maze_txt,2,whiteboard,0,0.22," ⏎  [ 'U', 'D', 'R', 'R' ]"
maze_txt,3,bare,0,2.14,urdrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_txt,3,self_consist,0,0.36,urdrdrurruudggg
maze_txt,3,verifier_guided,0,0.9," ⏎  D,D,R,R,U"
maze_txt,3,whiteboard,0,0.27," ⏎  [ 'U', 'D', 'R', 'R' ]"
maze_txt,4,bare,0,2.1,urdrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_txt,4,self_consist,0,0.3,urddrdg
maze_txt,4,verifier_guided,0,1.0,urd uudrdddurul
maze_txt,4,whiteboard,0,0.23," ⏎  [ 'U', 'D', 'R', 'R' ]"
fold1_img,0,bare,0,1.35,
fold1_img,0,self_consist,0,0.15,
fold1_img,0,verifier_guided,0,0.83,
fold1_img,0,whiteboard,0,0.31," ⏎  [0.12, 0.6, 0.87, 0.82]"
fold1_img,1,bare,0,1.36,
fold1_img,1,self_consist,0,0.21,
fold1_img,1,verifier_guided,0,0.65,
fold1_img,1,whiteboard,0,0.3," ⏎  [0.12, 0.6, 0.87, 0.82]"
fold1_img,2,bare,0,0.05,
fold1_img,2,self_consist,0,0.2,
fold1_img,2,verifier_guided,0,0.37,
fold1_img,2,whiteboard,0,0.28," ⏎  [0.12, 0.6, 0.87, 0.82]"
fold1_img,3,bare,0,1.32,
fold1_img,3,self_consist,0,0.18,
fold1_img,3,verifier_guided,0,0.36,
fold1_img,3,whiteboard,0,0.28," ⏎  [0.12, 0.6, 0.87, 0.82]"
fold1_img,4,bare,0,1.34,
fold1_img,4,self_consist,0,0.16,
fold1_img,4,verifier_guided,0,0.57,
fold1_img,4,whiteboard,0,0.27," ⏎  [0.12, 0.6, 0.87, 0.82]"
fold1_txt,0,bare,0,0.16,
fold1_txt,0,self_consist,0,0.15,
fold1_txt,0,verifier_guided,0,0.6,
fold1_txt,0,whiteboard,0,0.25," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold1_txt,1,bare,0,0.15,
fold1_txt,1,self_consist,0,0.43,
fold1_txt,1,verifier_guided,0,0.7,
fold1_txt,1,whiteboard,0,0.25," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold1_txt,2,bare,0,0.04,
fold1_txt,2,self_consist,0,0.29,
fold1_txt,2,verifier_guided,0,0.71," ⏎ (0.26, 0.25, 1.0, 0.82)"
fold1_txt,2,whiteboard,0,0.25," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold1_txt,3,bare,0,0.1,
fold1_txt,3,self_consist,0,0.15,
fold1_txt,3,verifier_guided,0,0.42," ⏎ (0.33, 0.49, 0.67, 0.68)"
fold1_txt,3,whiteboard,0,0.25," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold1_txt,4,bare,0,0.13,
fold1_txt,4,self_consist,0,0.14,
fold1_txt,4,verifier_guided,0,0.72,
fold1_txt,4,whiteboard,0,0.25," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold2_img,0,bare,0,1.35,
fold2_img,0,self_consist,0,0.15,
fold2_img,0,verifier_guided,0,0.31,
fold2_img,0,whiteboard,0,0.28," ⏎  [0.39, 0.61, 0.6, 0.81]"
fold2_img,1,bare,0,1.34,
fold2_img,1,self_consist,0,0.31,
fold2_img,1,verifier_guided,0,0.59,
fold2_img,1,whiteboard,0,0.29," ⏎  [0.39, 0.22, 0.63, 0.43]"
fold2_img,2,bare,0,0.05,
fold2_img,2,self_consist,0,0.15,
fold2_img,2,verifier_guided,0,0.32,
fold2_img,2,whiteboard,0,0.27," ⏎  [0.39, 0.22, 0.63, 0.43]"
fold2_img,3,bare,0,1.34,
fold2_img,3,self_consist,0,0.15,
fold2_img,3,verifier_guided,0,0.33,
fold2_img,3,whiteboard,0,0.28," ⏎  [0.39, 0.17, 0.82, 0.34]"
fold2_img,4,bare,0,1.34,
fold2_img,4,self_consist,0,0.17,
fold2_img,4,verifier_guided,0,0.33,
fold2_img,4,whiteboard,0,0.28," ⏎  [0.39, 0.61, 0.6, 0.81]"
fold2_txt,0,bare,0,0.18,
fold2_txt,0,self_consist,0,0.15,
fold2_txt,0,verifier_guided,0,0.51,
fold2_txt,0,whiteboard,0,0.26," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold2_txt,1,bare,0,0.17,
fold2_txt,1,self_consist,0,0.14,
fold2_txt,1,verifier_guided,0,0.31,
fold2_txt,1,whiteboard,0,0.26," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold2_txt,2,bare,0,0.04,
fold2_txt,2,self_consist,0,0.15,
fold2_txt,2,verifier_guided,0,0.33,
fold2_txt,2,whiteboard,0,0.25," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold2_txt,3,bare,0,0.11,
fold2_txt,3,self_consist,0,0.5,
fold2_txt,3,verifier_guided,0,0.59,
fold2_txt,3,whiteboard,0,0.26," ⏎  [0.39, 0.5, 0.6, 0.61]"
fold2_txt,4,bare,0,0.13,
fold2_txt,4,self_consist,0,0.56,
fold2_txt,4,verifier_guided,0,0.46," ⏎  (0.25, 0.44, 0.37, 0.59)"
fold2_txt,4,whiteboard,0,0.25," ⏎  [0.39, 0.5, 0.6, 0.61]"
