task,scaffold,K,instance,correct,valid,seconds,response_head
fold2,verifier_guided,1,19,0,0,0.51,"(1, 4);(2, 4);(2, 5);(3, 5);(4, 5)"
fold2,verifier_guided,4,0,0,1,1.95,"(1, 1);(1, 3);(3, 1);(3, 3)"
fold2,verifier_guided,4,1,0,1,2.36,"(1, 4);(3, 3);(1, 2);(2, 0);(1, 1);(3, 1);(3, 2);"
fold2,verifier_guided,4,2,0,1,1.62,"(2,0);(3,0);(2,2);(3,2);(2,3);(3,3)"
fold2,verifier_guided,4,3,0,1,1.96,"(2, 3);(1, 3);(3, 3);(0, 3);(0, 2);(1, 2);(2, 2)"
fold2,verifier_guided,4,4,0,1,1.55,"(1,4);(2,2);(0,4);(2,0)"
fold2,verifier_guided,4,5,0,1,2.37,"(1,4);(2,3);(3,3);(4,2);"
fold2,verifier_guided,4,6,0,1,1.93,"(3,3);(2,3);(2,2);(3,2);"
fold2,verifier_guided,4,7,0,1,1.7,"(0,2);(2,2);(0,3);(3,2);(1,3);"
fold2,verifier_guided,4,8,0,1,2.33,"(1, 2);(2, 2);(3, 2);(3, 0);(4, 0)"
fold2,verifier_guided,4,9,0,1,2.5,"(2,3);(0,2);(0,4);(3,2);(3,4);"
fold2,verifier_guided,4,10,0,1,2.46,"(0,3);(1,3);(2,3);(2,2);(3,3)"
fold2,verifier_guided,4,11,0,1,2.03,"(1,2);(3,2);(2,3);(3,3);(0,3);(1,3);(2,3);(3,3);(0,2);(1,2);(2,2);(0,1);(1,1);"
fold2,verifier_guided,4,12,0,1,2.47,"(0,2);(1,2);(2,2);(2,3);(3,2);"
fold2,verifier_guided,4,13,0,1,1.93,"(1,3);(1,2);(2,3);(3,2);(3,0);(2,4)"
fold2,verifier_guided,4,14,0,1,1.67,"(2,3);(2,2);(1,2);(3,2);(2,0);(1,0)"
fold2,verifier_guided,4,15,0,1,2.14,"(2,4);(3,2);(1,2);(0,2)"
fold2,verifier_guided,4,16,0,1,1.73,"(1,3);(2,3);(3,2);(4,2);(4,0)"
fold2,verifier_guided,4,17,0,1,1.97,"(1,4);(1,2);(3,2);(3,4);(2,0);(2,4);(4,0);(4,2);"
fold2,verifier_guided,4,18,0,1,1.67,"(2, 2);(2,4);(3,2);(3,4)"
fold2,verifier_guided,4,19,0,1,1.77,"(1, 2);(2, 2);(3, 2);(4, 2);"
fold2,verifier_guided,16,0,0,1,8.63,"(1,2);(3,2);(1,3);(3,3);(2,3);(4,0);(4,1);(4,2);(4,3)"
fold2,verifier_guided,16,1,0,1,7.73,"(2,4);(2,3);(3,2);(3,1);"
fold2,verifier_guided,16,2,0,1,6.79,"(0, 2);(0, 3);(3, 2);(3, 3)"
fold2,verifier_guided,16,3,0,1,7.31,"(2,3);(3,3);(0,3);(1,3);(2,2);(3,0);(0,0)"
fold2,verifier_guided,16,4,0,1,6.54,"(0, 1);(1, 1);(0, 0);(1, 0);(2, 3);(1, 3);(2, 0);(3, 2)"
fold2,verifier_guided,16,5,0,1,8.94,"(2,3);(0,2);(1,2);(3,2);(0,1);(1,1);(2,1);(3,1);(0,0);(1,0);(2,0);(3,0)"
fold2,verifier_guided,16,6,0,0,6.84,"(1,4);(2,4);(3,4);(4,4)"
fold2,verifier_guided,16,7,0,1,7.52,"(2,1);(0,4);(0,3);(1,2)"
fold2,verifier_guided,16,8,0,1,8.25,"(2,4);(3,0);(3,2);(4,0);"
fold2,verifier_guided,16,9,0,1,6.76,"(2,0);(2,1);(2,2);(3,2);(3,3);(3,4)"
fold2,verifier_guided,16,10,0,1,7.89,"(1,1);(2,1);(2,2);(1,2);(2,0);(3,0);(3,1);(3,2)"
fold2,verifier_guided,16,11,0,1,8.65,"(1,3);(0,3);(2,3);(3,3)"
fold2,verifier_guided,16,12,0,1,9.1,"(0,0);(0,2);(0,4);(1,0);(1,2);(1,3);(2,0);(2,2);(2,4);(3,0);(3,1);(3,2);"
fold2,verifier_guided,16,13,0,1,7.4,"(1,2);(1,4);(3,2);(3,4)"
fold2,verifier_guided,16,14,0,1,7.17,"(2,3);(1,3);(3,3);(2,0);(0,2);(0,1)"
fold2,verifier_guided,16,15,0,1,7.49,"(0,1);(1,1);(2,1);(2,2);(3,1);(3,2);(4,2);(4,3)"
fold2,verifier_guided,16,16,0,1,8.04,"(1,4);(2,3);(3,1);(4,1)"
fold2,verifier_guided,16,17,0,1,7.99,"(1,2);(2,3);(3,3);(4,2)"
fold2,verifier_guided,16,18,0,1,7.35,"(2,4);(3,2);(0,2);(0,3)"
fold2,verifier_guided,16,19,0,1,7.63,"(0, 0);(0, 2);(2, 0);(2, 2);(3, 0);(3, 2)"
fold2,verifier_guided,64,0,1,1,17.27,"(0,0);(0,3);(3,3);(3,0)"
fold2,verifier_guided,64,1,0,1,29.44,"(2,4);(3,2);(0,3);(2,0)"
fold2,verifier_guided,64,2,0,1,31.09,"(2,4);(2,1);(1,4);(1,3)"
fold2,verifier_guided,64,3,0,1,30.81,"(1,3);(2,3);(3,3);(0,2);(1,2);(2,2);(0,1);(1,1);(2,1);(0,0);"
fold2,verifier_guided,64,4,0,1,32.38,"(2,4);(3,2);(3,3);(2,0);(2,1);(3,0)"
fold2,verifier_guided,64,5,0,1,30.13,"(0,1);(1,1);(2,1);(0,2);(1,2);(3,2);(0,3);(1,3);(2,3);"
fold2,verifier_guided,64,6,0,1,36.16,"(0,3);(1,3);(1,2);(3,2);(2,3)"
fold2,verifier_guided,64,7,0,1,32.13,"(1,3);(2,1);(0,3);(3,0)"
fold2,verifier_guided,64,8,0,1,30.06,"(2,2);(2,4);(3,2);(3,3);(3,4);(4,0);(4,1);(4,3);"
fold2,verifier_guided,64,9,0,1,31.47,"(0, 1);(1, 1);(2, 0);(3, 2);(4, 0);(4, 1);(4, 2)"
fold2,verifier_guided,64,10,1,1,6.76,"(0, 0); (0, 3); (3, 0); (3, 3)"
fold2,verifier_guided,64,11,0,1,33.21,"(1,2);(2,2);(3,2);(4,2)"
fold2,verifier_guided,64,12,0,1,33.22,"(0, 2);(1, 2);(1, 3);(2, 3);"
fold2,verifier_guided,64,13,0,1,33.07,"(1, 2);(3, 2);(4, 2);(4, 0);(0, 2);(1, 0)"
fold2,verifier_guided,64,14,0,1,29.04,"(2,2);(2,4);(0,3);(3,3);(0,1);(3,1)"
fold2,verifier_guided,64,15,0,1,30.14,"(1,4);(2,4);(4,4);(0,2);(1,2);(3,2);(2,3);(0,3);(1,3);(3,3)"
fold2,verifier_guided,64,16,0,1,30.88,"(1, 3); (2, 3); (3, 1); (4, 0)"
fold2,verifier_guided,64,17,0,1,34.0,"(1,2);(1,3);(2,3);(2,4);(3,2);(3,3);(3,4)"
fold2,verifier_guided,64,18,0,1,29.08,"(1,4);(0,4);(3,3);(2,3)"
fold2,verifier_guided,64,19,0,0,29.39,"(1,4);(2,4);(3,4);(4,2);(4,3);"
