task,scaffold,K,instance,correct,valid,seconds,response_head
fold2,verifier_guided,4,13,0,1,2.09,"(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,4,14,0,1,2.71,"(0,2);(1,2);(2,3);(3,3)"
fold2,verifier_guided,4,15,0,1,4.56,"(0,0);(1,0);(2,0);(3,0);(0,1);(1,1);(2,1);(3,1);(0,2);(1,2);(2,2);(3,2);(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,4,16,0,1,2.48,"(1,1);(1,2);(1,3);(2,3)"
fold2,verifier_guided,4,17,0,1,4.1,"(0,3);(1,3);(2,3);(3,3);(0,2);(1,2);(2,2);(3,2)"
fold2,verifier_guided,4,18,0,1,2.69,"(0,1);(1,1);(0,2);(1,2);"
fold2,verifier_guided,4,19,0,1,2.4,"(1,1);(2,2);(3,3)"
fold2,verifier_guided,16,0,0,1,11.58,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);"
fold2,verifier_guided,16,1,0,1,11.19,"(2,2)"
fold2,verifier_guided,16,2,0,1,11.17,"(1,3);(2,2);(3,2);(4,3)"
fold2,verifier_guided,16,3,0,1,11.08,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);"
fold2,verifier_guided,16,4,0,1,12.74,"(0,1);(1,1);(1,2);(1,3);(2,2);"
fold2,verifier_guided,16,5,0,1,10.54,"(0,2);(1,2);(2,2);(3,2)"
fold2,verifier_guided,16,6,0,1,13.22,"(0,0);(0,1);(1,0);(1,1)"
fold2,verifier_guided,16,7,0,1,13.19,"(0,0);(0,1);(0,2);(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,16,8,0,1,11.26,"(0,1);(0,2);(0,3);(1,2);(2,0);(2,1);(2,3);(3,0);(3,1);(3,2);(3,3)"
fold2,verifier_guided,16,9,0,1,11.96,"(0,2);(0,4);(1,0);(1,2);(1,4);(2,0);(3,0);(3,2);(3,4);(4,2)"
fold2,verifier_guided,16,10,0,1,13.04,"(2,4);(3,2);(3,4)"
fold2,verifier_guided,16,11,0,1,12.15,"(0,0);(0,1);(0,2);(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,16,12,0,1,10.88,"(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);(3,0);(3,1);(3,2);(3,3)"
fold2,verifier_guided,16,13,0,1,10.31,"(0,0);(1,0);(2,0);(3,0); ⏎ (0,2);(1,2);(2,2);(3,2);"
fold2,verifier_guided,16,14,0,1,11.31,"(0,0);(0,1);(0,2);(0,3);(1,1);(1,2);(1,3);(2,1);(2,2);(2,3);(3,1);(3,2)"
fold2,verifier_guided,16,15,0,1,12.37,"(1,3);(2,1);(2,2);(2,3)"
fold2,verifier_guided,16,16,0,1,11.59,"(0,1);(1,0);(2,2);(3,3);"
fold2,verifier_guided,16,17,0,1,10.11,"(1,2);(2,2);(3,2)"
fold2,verifier_guided,16,18,0,1,11.95,"(2,2);(2,3);(3,2);(3,3)"
fold2,verifier_guided,16,19,0,1,11.33,"(0,0);(0,1);(1,0);(1,1);(2,0);(3,0);(2,1);(3,1)"
fold2,verifier_guided,64,0,0,1,50.1,"(1,1);(1,2);(1,3);(1,4);(2,1);(2,2);(2,3);(2,4);(3,1);(3,2);(3,3);(3,4)"
fold2,verifier_guided,64,1,1,1,20.28,"(2,2);(1,2);(1,1);(2,1)"
fold2,verifier_guided,64,2,1,1,10.95,"(1,1);(2,2);(1,2);(2,1)"
fold2,verifier_guided,64,3,0,1,49.67,"(2,3);(2,4);(3,3);(3,4)"
fold2,verifier_guided,64,4,0,1,47.93,"(0,0);(0,1);(0,3);(1,0);(1,1);(1,3);(2,0);(2,1);(2,3);(3,2)"
fold2,verifier_guided,64,5,0,1,37.52,"(2,2);"
fold2,verifier_guided,64,6,0,1,44.73,"(3,1);(3,2);(3,3);"
fold2,verifier_guided,64,7,0,1,41.43,"(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,64,8,0,1,45.55,"(0,2);(1,2);(2,2);(3,2)"
fold2,verifier_guided,64,9,0,1,43.39,"(1,1);(1,2);(1,3);(2,2)"
fold2,verifier_guided,64,10,0,1,49.67,"(0,0);(0,1);(0,2);(0,3);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);(3,1);"
fold2,verifier_guided,64,11,0,1,43.56,"(2,0);(2,1);(2,3);(3,0);(3,1);(3,2);(3,3);(4,3)"
fold2,verifier_guided,64,12,0,1,38.71,"(0,3);(1,3);(2,3);(3,2)"
fold2,verifier_guided,64,13,0,1,44.42,"(3,0);(3,1);(3,2);(3,3)"
fold2,verifier_guided,64,14,0,1,48.3,"(2,3);"
fold2,verifier_guided,64,15,1,1,3.47,"(2,2);(1,2);(2,1);(1,1);"
fold2,verifier_guided,64,16,0,1,48.96,"(0,1);(0,2);(0,3);(1,1);(1,2);(1,3);(2,1);(2,2);(2,3);(3,3)"
fold2,verifier_guided,64,17,0,1,41.56,"(0,1);(1,0);(2,0);(3,1);(3,2);(3,3)"
fold2,verifier_guided,64,18,1,1,9.48,"(1,1);(1,2);(2,1);(2,2);"
fold2,verifier_guided,64,19,0,1,50.51,"(1,3);(2,3);(3,3);(4,3)"
